avrg_Velocity [km/h],avrg_Throttle [%],avrg_Motor Torque [Nm],avrg_Longitudinal Acceleration [m/s^2],avrg_Regenerative Braking Signal ,avrg_Battery Voltage [V],avrg_Battery Current [A],avrg_Battery Temperature [°C],avrg_Heating Power CAN [kW],avrg_Requested Heating Power [W],avrg_AirCon Power [kW],avrg_Heater Signal,avrg_Ambient Temperature [°C],avrg_Heat Exchanger Temperature [°C],avrg_Cabin Temperature Sensor [°C],Elevation change,Previous SoC,Previous displayed SoC,Next SoC,Next displayed SoC
32.566666666666656,29.044999999999998,-3.549833333333334,-0.21033333333333337,0.0,390.78266666666667,-2.561333333333333,21.933666666666667,0.0,85.0,0.8906666666666665,1.0,27.5,26.0875,24.895499999999995,0.0,86.6,100.0,86.6,100.0
32.639833333333335,35.48416666666667,14.320500000000003,0.037,0.0,389.401,-18.20133333333333,22.0,0.0,85.0,2.48,1.0,27.842499999999998,25.754166666666666,24.951,0.0,86.6,100.0,86.6,100.0
32.50983333333333,31.247333333333334,0.6359999999999998,-0.1575,0.0,390.06516666666664,-9.315833333333334,22.0,0.0,85.0,2.457333333333333,1.0,28.0,25.170833333333334,25.009999999999998,0.0,86.6,100.0,86.6,100.0
24.828166666666668,25.8075,-10.367333333333335,-0.37049999999999994,0.11666666666666667,390.7696666666667,-2.5301666666666667,22.0,0.0,85.0,2.323,1.0,28.0,24.508333333333333,24.9805,0.0,86.6,100.0,86.6,100.0
28.930999999999997,40.25033333333332,37.21716666666667,0.4288333333333333,0.0,388.32233333333335,-29.629499999999997,22.0,0.0,85.0,2.090666666666667,1.0,28.424166666666668,23.8375,25.009999999999998,0.0,86.6,100.0,86.5,100.0
33.97316666666667,40.90483333333332,29.7335,0.41450000000000004,0.0,388.17033333333336,-29.10433333333333,22.0,0.0,85.0,1.9603333333333335,1.0,28.5,23.254166666666666,25.034833333333335,0.0,86.5,100.0,86.4,100.0
35.65383333333333,28.77083333333333,-0.0413333333333334,-0.14816666666666667,0.15,389.78533333333337,-7.705,22.0,0.0,85.0,1.8359999999999999,1.0,28.5,22.579166666666666,25.170000000000005,0.0,86.4,100.0,86.4,100.0
33.08883333333333,41.23933333333332,29.309,0.3451666666666667,0.0,388.20733333333334,-27.493333333333336,22.0,0.0,85.0,1.752666666666667,1.0,28.5,21.85,25.170000000000005,0.0,86.4,100.0,86.3,100.0
29.00616666666667,17.65,-26.428333333333335,-0.638,0.23333333333333334,391.1575000000001,8.029333333333334,22.0,0.0,85.0,1.6606666666666667,1.0,28.5,21.254166666666666,25.170000000000005,0.0,86.3,100.0,86.3,100.0
20.70916666666666,30.459166666666665,9.458499999999999,-0.0315,0.0,389.733,-10.756000000000002,22.0,0.0,85.0,1.631333333333333,1.0,28.5,20.5875,25.31,0.0,86.3,100.0,86.3,100.0
11.089333333333332,10.090499999999997,-40.98016666666667,-0.8395000000000002,0.4,390.9628333333333,2.6545,22.0,0.0,85.0,1.5999999999999994,1.0,28.5,20.170833333333334,25.342499999999998,0.0,86.3,100.0,86.3,100.0
4.165166666666667,21.564500000000006,33.56733333333334,0.4723333333333334,0.0,389.8293333333333,-11.505833333333332,22.0,0.0,85.0,1.6069999999999993,1.0,28.5,19.5875,25.505166666666664,0.0,86.3,100.0,86.3,100.0
22.65966666666667,43.38683333333333,72.04883333333333,1.1083333333333332,0.0,387.0276666666667,-41.84700000000001,22.0,0.5036666666666667,85.0,1.5903333333333332,1.0,28.665833333333335,19.170833333333334,25.509999999999998,0.0,86.3,100.0,86.2,100.0
33.966833333333334,30.799,4.815,-0.07266666666666666,0.136,389.3771666666666,-10.019333333333332,22.0,0.0,85.0,1.570666666666667,1.0,29.0,18.8375,25.509999999999998,0.0,86.2,100.0,86.1,100.0
24.333666666666666,28.591333333333335,0.06599999999999966,-0.21316666666666664,0.29716666666666663,389.93900000000014,-6.903499999999999,22.0,0.0,85.0,1.5326666666666664,1.0,29.0,18.254166666666666,25.61483333333334,0.0,86.1,100.0,86.1,100.0
40.217999999999996,46.505833333333335,60.44950000000001,0.8151666666666667,0.0,385.61249999999995,-53.06266666666667,22.0,0.0,85.0,1.4836666666666665,1.0,29.0,17.425,25.670000000000012,0.0,86.1,100.0,86.0,100.0
48.12850000000001,31.933333333333334,6.912166666666666,-0.09183333333333335,0.21666666666666667,388.7036666666666,-13.244,22.0,0.0,85.0,1.4073333333333338,1.0,29.0,16.508333333333333,25.78166666666666,0.0,86.0,100.0,85.9,100.0
49.725500000000004,40.108500000000014,25.167166666666667,0.2656666666666666,0.0,387.2045,-31.81683333333333,22.0,0.0,85.0,1.4029999999999998,1.0,29.0,15.425,25.839999999999993,0.0,85.9,100.0,85.8,99.5
46.137333333333345,13.316333333333334,-29.041833333333333,-0.9245,0.6166666666666667,391.3379999999999,17.401833333333332,22.0,0.0,85.0,1.426,1.0,29.0,14.425,25.839999999999993,0.0,85.8,99.5,85.9,99.5
